ensemble_size, batch_size, trial_num, h2d (ms), kernel (ms), d2h (ms)
999, 100, 46, 0.00624, 0.01856, 0.151392
999, 100, 47, 0.006304, 0.01952, 0.151968
999, 100, 48, 0.005984, 0.0256, 0.141344
999, 100, 49, 0.00576, 0.019168, 0.13984
999, 200, 0, 0.006272, 0.140384, 0.249952
999, 200, 1, 0.007584, 0.123904, 0.260256
999, 200, 2, 0.006592, 0.12464, 0.236576
999, 200, 3, 0.006528, 0.122592, 0.26048
999, 200, 4, 0.006816, 0.120832, 0.257536
999, 200, 5, 0.00704, 0.122816, 0.259104
999, 200, 6, 0.006816, 0.119808, 0.273408
999, 200, 7, 0.007424, 0.124, 0.239776
999, 200, 8, 0.007008, 0.119808, 0.267488
999, 200, 9, 0.006944, 0.120832, 0.261824
999, 200, 10, 0.00704, 0.122112, 0.260256
999, 200, 11, 0.0072, 0.119808, 0.242656
999, 200, 12, 0.006592, 0.119808, 0.258624
999, 200, 13, 0.007264, 0.119136, 0.262592
999, 200, 14, 0.007616, 0.123904, 0.275968
999, 200, 15, 0.00768, 0.121856, 0.267872
999, 200, 16, 0.007264, 0.123104, 0.250976
999, 200, 17, 0.007104, 0.122176, 0.268928
999, 200, 18, 0.007616, 0.121184, 0.252416
999, 200, 19, 0.007168, 0.124672, 0.247328
999, 200, 20, 0.007168, 0.120832, 0.283808
999, 200, 21, 0.007072, 0.121984, 0.269472
999, 200, 22, 0.007744, 0.123904, 0.268832
999, 200, 23, 0.007168, 0.124864, 0.265984
999, 200, 24, 0.006848, 0.121856, 0.27024
999, 200, 25, 0.007232, 0.12288, 0.273952
999, 200, 26, 0.006912, 0.122592, 0.267968
999, 200, 27, 0.007584, 0.12288, 0.249984
999, 200, 28, 0.007296, 0.139264, 0.269024
999, 200, 29, 0.007648, 0.12288, 0.280352
999, 200, 30, 0.007328, 0.124832, 0.275616
999, 200, 31, 0.007168, 0.129024, 0.268032
999, 200, 32, 0.007264, 0.120832, 0.255008
999, 200, 33, 0.007616, 0.128, 0.248288
999, 200, 34, 0.007008, 0.121536, 0.265792
999, 200, 35, 0.007136, 0.12688, 0.247776
999, 200, 36, 0.00736, 0.121856, 0.256672
999, 200, 37, 0.007584, 0.131072, 0.253184
999, 200, 38, 0.007072, 0.123776, 0.26656
999, 200, 39, 0.007648, 0.123904, 0.279616
999, 200, 40, 0.007872, 0.123904, 0.247392
999, 200, 41, 0.007488, 0.123648, 0.248736
999, 200, 42, 0.007168, 0.123552, 0.267808
999, 200, 43, 0.007392, 0.12288, 0.273344
999, 200, 44, 0.00704, 0.123904, 0.272192
999, 200, 45, 0.007584, 0.12288, 0.247328
999, 200, 46, 0.007328, 0.121856, 0.264864
999, 200, 47, 0.007744, 0.120832, 0.24896
999, 200, 48, 0.006944, 0.122208, 0.266816
999, 200, 49, 0.007392, 0.12288, 0.247456
999, 400, 0, 0.008704, 0.172032, 0.478528
999, 400, 1, 0.007712, 0.166176, 0.483232
999, 400, 2, 0.008704, 0.181248, 0.453536
999, 400, 3, 0.00816, 0.166912, 0.481088
999, 400, 4, 0.007872, 0.177152, 0.48528
999, 400, 5, 0.00816, 0.16896, 0.484928
999, 400, 6, 0.008544, 0.165888, 0.48544
999, 400, 7, 0.008448, 0.270336, 0.47456
999, 400, 8, 0.007232, 0.164864, 0.470592
999, 400, 9, 0.007328, 0.16384, 0.432032
999, 400, 10, 0.007552, 0.165056, 0.467232
999, 400, 11, 0.012384, 0.166912, 0.46768
999, 400, 12, 0.0072, 0.165888, 0.472864
999, 400, 13, 0.007584, 0.16384, 0.468608
999, 400, 14, 0.00768, 0.168128, 0.471968
999, 400, 15, 0.008096, 0.164864, 0.430368
999, 400, 16, 0.008224, 0.165888, 0.426112
999, 400, 17, 0.008064, 0.165888, 0.464032
999, 400, 18, 0.007712, 0.1632, 0.468736
999, 400, 19, 0.007616, 0.162816, 0.474528
999, 400, 20, 0.007328, 0.164192, 0.4632
999, 400, 21, 0.008224, 0.163872, 0.463712
999, 400, 22, 0.007392, 0.165888, 0.428064
999, 400, 23, 0.00816, 0.164864, 0.473248
999, 400, 24, 0.007488, 0.162816, 0.478976
999, 400, 25, 0.00912, 0.169984, 0.461632
999, 400, 26, 0.012704, 0.164096, 0.475552
