ensemble_size, batch_size, trial_num, predict (ms)
999,3200,18,3.8926
999,3200,19,15.162
999,3200,20,3.89824
999,3200,21,3.84594
999,3200,22,3.87783
999,3200,23,3.85342
999,3200,24,3.86425
999,3200,25,3.84097
999,3200,26,3.86981
999,3200,27,3.84583
999,3200,28,3.87091
999,3200,29,3.85075
999,3200,30,3.87865
999,3200,31,3.87006
999,3200,32,4.10867
999,3200,33,3.90906
999,3200,34,3.89689
999,3200,35,3.8688
999,3200,36,3.88588
999,3200,37,3.86062
999,3200,38,3.88451
999,3200,39,3.86693
999,3200,40,3.87847
999,3200,41,3.86299
999,3200,42,13.0962
999,3200,43,3.95148
999,3200,44,3.91237
999,3200,45,3.89845
999,3200,46,4.67612
999,3200,47,4.58047
999,3200,48,3.91613
999,3200,49,3.88316
999,6400,0,7.31789
999,6400,1,7.62791
999,6400,2,7.63444
999,6400,3,8.53959
999,6400,4,7.10399
999,6400,5,7.16477
999,6400,6,7.25289
999,6400,7,19.6484
999,6400,8,7.27802
999,6400,9,7.26696
999,6400,10,7.17003
999,6400,11,7.24092
999,6400,12,7.15298
999,6400,13,7.1546
999,6400,14,7.126
999,6400,15,7.11315
999,6400,16,7.13052
999,6400,17,7.20737
999,6400,18,7.12079
999,6400,19,18.3758
999,6400,20,7.11402
999,6400,21,7.22011
999,6400,22,7.19486
999,6400,23,7.19838
999,6400,24,7.3162
999,6400,25,7.2706
999,6400,26,7.33834
999,6400,27,7.121
999,6400,28,7.24349
999,6400,29,7.22614
999,6400,30,7.13142
999,6400,31,7.20113
999,6400,32,16.2139
999,6400,33,7.72271
999,6400,34,7.75807
999,6400,35,7.71975
999,6400,36,7.72907
999,6400,37,7.81712
999,6400,38,7.80694
999,6400,39,7.73283
999,6400,40,7.6694
999,6400,41,7.74248
999,6400,42,7.65946
999,6400,43,7.65534
999,6400,44,14.8865
999,6400,45,7.72467
999,6400,46,7.69416
999,6400,47,7.75291
999,6400,48,7.73198
999,6400,49,7.64157
999,10000,0,10.6601
999,10000,1,11.0896
999,10000,2,11.1479
999,10000,3,10.6382
999,10000,4,20.2896
999,10000,5,11.8216
999,10000,6,11.635
999,10000,7,11.7645
999,10000,8,11.793
999,10000,9,11.6449
999,10000,10,11.8541
999,10000,11,20.2796
999,10000,12,11.6748
999,10000,13,11.4603
999,10000,14,11.1457
999,10000,15,11.2916
999,10000,16,11.0763
999,10000,17,11.1151
999,10000,18,11.043
999,10000,19,19.8716
999,10000,20,11.5588
999,10000,21,11.074
999,10000,22,11.0419
999,10000,23,11.0855
