ensemble_size,batch_size,trial_num,predict_ms,optimised
999,1600,24,0.22893305867910385,False
999,1600,25,0.2279430627822876,False
999,1600,26,0.2297423779964447,False
999,1600,27,0.23046322166919708,False
999,1600,28,0.22876262664794922,False
999,1600,29,0.22808276116847992,False
999,1600,30,0.2342434599995613,False
999,1600,31,0.23138336837291718,False
999,1600,32,0.2369629219174385,False
999,1600,33,0.2278229221701622,False
999,1600,34,0.2284431830048561,False
999,1600,35,0.2293027937412262,False
999,1600,36,0.23124366998672485,False
999,1600,37,0.22841338068246841,False
999,1600,38,0.22892281413078308,False
999,1600,39,0.2289833500981331,False
999,1600,40,0.2331240102648735,False
999,1600,41,0.23367255926132202,False
999,1600,42,0.22961292415857315,False
999,1600,43,0.22999290376901627,False
999,1600,44,0.2311328426003456,False
999,1600,45,0.2280930057168007,False
999,1600,46,0.2285325899720192,False
999,1600,47,0.2285633236169815,False
999,1600,48,0.2294834703207016,False
999,1600,49,0.22982247173786163,False
999,3200,0,0.2817027270793915,False
999,3200,1,0.25642476975917816,False
999,3200,2,0.2502230927348137,False
999,3200,3,0.24618301540613174,False
999,3200,4,0.2453438937664032,False
999,3200,5,0.24258345365524292,False
999,3200,6,0.243503600358963,False
999,3200,7,0.24268310517072678,False
999,3200,8,0.24751387536525726,False
999,3200,9,0.2470826730132103,False
999,3200,10,0.24582352489233017,False
999,3200,11,0.24366285651922226,False
999,3200,12,0.2434132620692253,False
999,3200,13,0.24125445634126663,False
999,3200,14,0.24157296866178513,False
999,3200,15,0.24299323558807373,False
999,3200,16,0.24331267923116684,False
999,3200,17,0.240962952375412,False
999,3200,18,0.24941284209489822,False
999,3200,19,0.24276413023471832,False
999,3200,20,0.24398323148488998,False
999,3200,21,0.2422332763671875,False
999,3200,22,0.2450738102197647,False
999,3200,23,0.241854228079319,False
999,3200,24,0.24274270981550217,False
999,3200,25,0.24083256721496582,False
999,3200,26,0.24163257330656052,False
999,3200,27,0.2418728545308113,False
999,3200,28,0.2486240118741989,False
999,3200,29,0.24843309074640274,False
999,3200,30,0.24562329053878784,False
999,3200,31,0.2447729930281639,False
999,3200,32,0.2437429502606392,False
999,3200,33,0.24122372269630432,False
999,3200,34,0.24180300533771515,False
999,3200,35,0.2412525936961174,False
999,3200,36,0.2487730234861374,False
999,3200,37,0.24068262428045273,False
999,3200,38,0.24104490876197815,False
999,3200,39,0.23682322353124619,False
999,3200,40,0.23020338267087936,False
